id;isbn;name;author;publishing;year;language;pageCount;price;difficulty;wordCount;level;genre1;genre2;accessories
MAR-AJ-0084;;Romeo & Juliet;William Shakespeare;Macmillan;2006;British English;68; 138 Kè ;3;1400;B1;Classic literature;;
MAR-AJ-0085;;A Midsummer Night´s Dream;William Shakespeare;Oxford;2014;British English;80; 123 Kè ;3;1000;B1;Classic literature;Comedy;
MAR-AJ-0086;;Dr Jekyll and Mr Hyde;Robert Luis Stevenson;Oxford;2016;British English;96; 191 Kè ;3;1400;B1/B2;Horror/Fantasy;;Audio CD
MAR-AJ-0087;;Treasure Island;Robert Luis Stevenson;Pearson;2011;British English;48; 187 Kè ;2;600;A2;Classic literature;Adventure;Audio CD
MAR-AJ-0088;;Three Men in a Boat;Jerome Klapka Jerome;Oxford;2016;British English;112; 204 Kè ;3;1400;B1/B2;Classic literature;Comedy;Audio CD
MAR-AJ-0089;;The Hound of Baskervilles;Sir Arthur Conan Doyle;Oxford;2016;British English;112; 191 Kè ;3;1400;B1/B2;Crime/Mystery;;Audio CD
MAR-AJ-0090;;England;John Escott;Oxford;2016;British English;64; 166 Kè ;1;400;A1/A2;Non-fiction;;Audio CD
MAR-AJ-0091;;Ireland;Tim Vicary;Oxford;2016;British English;56; 178 Kè ;1;400;A1/A2;Non-fiction;;Audio CD
MAR-AJ-0092;;Australia and New Zealand;Christine Lindop;Oxford;2016;British English;72; 204 Kè ;2;700;A2/B1;Non-fiction;;Audio CD
MAR-AJ-0093;;The USA;Alison Baxter;Oxford;2016;British English;80; 191 Kè ;2;700;A2/B1;Non-fiction;;Audio CD
MAR-AJ-0094;;Information Technology;Paul A. Davis;Oxford;2007;British English;80; 123 Kè ;2;700;A2/B1;Non-fiction;;
MAR-AJ-0095;;The History of English Language;Brigit Viney;Oxford;2008;British English;112; 132 Kè ;3;1400;B1/B2;Non-fiction;;
MAR-AJ-0096;;Henry VIII and His Six Wives;Hardy J. Goulde;Oxford;2016;British English;64; 166 Kè ;2;700;A2/B1;Non-fiction;;Audio CD
MAR-AJ-0097;;William Shakespeare;Jennifer Bassett;Oxford;2016;British English;72; 178 Kè ;2;700;A2/B1;Non-fiction;;Audio CD
MAR-AJ-0098;;Island of Dr. Moreau;Herbert George Wells;Pearson;2008;British English;56; 179 Kè ;3;1200;A2;Classic literature;Sci-fi/Fantasy;
MAR-AJ-0099;;The Piano Man;Tim Vicary;Oxford;2020;British English;56; 115 Kè ;1;400;A1/A2;Human interest;;
MAR-AJ-0100;;The Rest of Us Just Live Here;Patrick Ness;HarperCollins Publishers;2016;American English;317; 189 Kè ;-;-;C2;Comedy;Sci-fi/Fantasy;
MAR-AJ-0101;;1Q84: The Complete Trilogy;Haruki Murakami;Vintage/Arrow;2012;British English;1318; 291 Kè ;-;-;C2;Sci-fi/Fantasy;;
MAR-AJ-0102;;A Brief History Of Time;Stephen William Hawking;Bantam Press;2015;British English;256; 182 Kè ;-;-;C2;Popular science;;
MAR-AJ-0103;;Blood, Sweat, and Pixels : The Triumphan;Jason Schreier;HarperCollins Publishers;2017;American English;290; 262 Kè ;-;-;C2;Non-fiction;;
MAR-AJ-0104;;Carrying Albert Home : The Somewhat True;Homer Hickam;HarperCollins Publishers;2016;American English;415; 174 Kè ;-;-;C2;Comedy;Biographical historical fiction;
MAR-AJ-0105;;Cat Among the Pigeons;Agatha Christie;HarperCollins Publishers;2017;British English;312; 138 Kè ;-;-;C2;Crime/Mystery;;
MAR-AJ-0106;;Fifty Things You Need To Know About Brit;Hugh Williams;HarperCollins Publishers;2009;British English;410; 255 Kè ;-;-;C2;Non-fiction;;
MAR-AJ-0107;;How To Win Friends And Influence People;Dale Carnegie;Ebury Press;2011;American English;280; 218 Kè ;-;-;C2;Non-fiction;;
MAR-AJ-0108;;It;Stephen King;Hodder & Stoughton;2011;American English;1378; 182 Kè ;-;-;C2;Horror/Fantasy;;
MAR-AJ-0109;;My Spritual Life;Dalajláma Xiv;HarperCollins Publishers;2011;American English;284; 291 Kè ;-;-;C2;Non-fiction;Biographical;
MAR-AJ-0110;;John Lennon;Alex Raynham;Oxford;2016;British English;60; 115 Kè ;1;400;A1/A2;Non-fiction;Biographical;Audio CD
MAR-AJ-0111;;John F. Kennedy;Anne Collins;Oxford;2014;British English;64; 122 Kè ;2;700;A2/B1;Non-fiction;Biographical;
MAR-AJ-0112;;Leonardo Da Vinci;Alex Raynham;Oxford;2013;British English;64; 122 Kè ;2;700;A2/B1;Non-fiction;Biographical;
MAR-AJ-0113;;Seasons&Celebrations;Emily Maquire;Oxford;2011;British English;56; 122 Kè ;2;700;A2/B1;Non-fiction;;
MAR-AJ-0114;;Information Technology;Paul A. Davis;Oxford;2007;British English;72; 127 Kè ;3;1400;B1/B2;Non-fiction;;
MAR-AJ-0115;;47 Ronin - A Samurai Story From Japan;Jennifer Bassett;Oxford;2014;British English;64; 115 Kè ;1;400;A1/A2;Adventure;Biographical historical fiction;
MAR-AJ-0116;;American Crime Stories;John Escott;Oxford;2018;British English;128; 147 Kè ;6;2500;B2/C1;Crime/Mystery;;
MAR-AJ-0117;;The Fly and Other Horror Stories;John Escott;Oxford;2008;British English;128; 147 Kè ;6;2500;B2/C1;Horror/Fantasy;;
MAR-AJ-0118;;One Hundred Years of Solitude;Gabriel García Márquez;HarperCollins Publishers;2006;American English;448; 291 Kè ;-;-;C2;Drama/Tragedy;;
MAR-AJ-0119;;Black Beauty;Anna Sewell;Pearson;2008;British English;44; 171 Kè ;2;600;A2;Classic literature;Adventure;
MAR-AJ-0120;;Billy Elliot;Melvyn Burgess;Pearson;2008;British English;58; 179 Kè ;3;1200;A2;Classic literature;Cultural and social issues;
MAR-AJ-0121;;Matilda;Roald Dahl;Pearson;2008;British English;50; 178 Kè ;3;1200;A2;Children's novel;;
MAR-AJ-0122;;The Hunchback of Notre-Dame;Victor Hugo;Pearson;2008;American English;64; 179 Kè ;3;1200;A2;Classic literature;;
MAR-AJ-0123;;The Canterville Ghost and Other Stories;Oscar Wilde;Pearson;2008;British English;70; 188 Kè ;4;1700;B1;Classic literature;Horror/Fantasy;
MAR-AJ-0124;;Tales of Mystery and Imaginati;Edgar Allan Poe;Pearson;2008;British English;110; 192 Kè ;5;2300;B2;Classic literature;Horror/Fantasy;
MAR-AJ-0125;;The Invisible Man;Herbert George Wells;Pearson;2008;British English;80; 192 Kè ;5;2300;B2;Classic literature;Sci-fi/Fantasy;
MAR-AJ-0126;;Pøípad levného bytu/The Adventure of the Cheap Flat;Agatha Christie;Garamond;2013;British English;176; 154 Kè ;-;-;C2;Crime/Mystery;;
MAR-AJ-0127;;Smith of Wootton Major;John Ronald Reuel Tolkien;HarperCollins Publishers;2015;British English;224; 218 Kè ;-;-;C2;Sci-fi/Fantasy;;
MAR-AJ-0128;;The Egg and I;Betty Macdonald;HarperCollins Publishers;2008;American English;288; 255 Kè ;-;-;C2;Comedy;Biographical;
MAR-AJ-0129;;The Girl Who saved the King of Sweden;Jonas Jonasson;HarperCollins Publishers;2015;British English;424; 145 Kè ;-;-;C2;Comedy;;
MAR-AJ-0130;;The Rules of Seeing;Joe Heap;HarperCollins Publishers;2019;British English;411; 145 Kè ;-;-;C2;Romance;Comedy;
MAR-AJ-0131;;The Stories of English;David Crystal;Penguin Books;2019;British English;584; 291 Kè ;-;-;C2;Non-fiction;;
MAR-AJ-0132;;The World of David Walliams - Book of Stuff - Fun, Facts and Everything You Never Wanted to Know;David Lewis-Williams;HarperCollins Publishers;2018;British English;80; 274 Kè ;-;-;C2;Comedy;;
MAR-AJ-0133;;Think and Grow Rich;Napoleon Hill;Ballantine Books;1990;American English;235; 145 Kè ;-;-;C2;Non-fiction;;
MAR-AJ-0134;;This Explaines Everything;John Brockman;HarperCollins Publishers;2013;British English;411; 218 Kè ;-;-;C2;Non-fiction;;
